cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean,marine_dist_km,marine_curr_p90,marine_curr_mean,marine_depth,marine_grad,risk_score,landform_g,y,dist_coast_km_z,elev_m_z,marine_curr_p90_z,marine_grad_z,marine_depth_z
132,852500.0,1682500.0,0.0,0.0,0.0,,17.066198311211352,-4.75,4.48783076775406,0.26023579835891725,0.12958891689777374,3.6254483778431874,0.26023579835891725,0.12958892,19.75,3.8078865529319543,3.3852093819598448,기타,0,-0.3533144576420541,-0.8916892975030721,7.193332531607515,0.09043376734390268,0.9402441
175,857500.0,1627500.0,0.0,0.0,0.0,,3.053710422682249,0.75,53.818754787358316,0.05640013217926026,0.03010040894150734,2.493365814611695,0.05640013217926026,0.030100409,41.0,10.17656621852381,-0.9098431394371886,기타,0,-0.9324883959899481,-0.8655159802842244,0.20167007598681488,1.362840510408187,3.2376537
176,857500.0,1632500.0,0.0,0.0,0.0,,1.0087581970260082,45.337310791015625,23.30067834095096,,,4.669146651473854,0.05640013217926026,0.030100409,41.0,10.17656621852381,-0.9098431394371886,기타,0,-1.0170117899574231,-0.6533345567808414,0.20167007598681488,1.362840510408187,3.2376537
177,857500.0,1637500.0,0.0,0.0,0.0,,1.0145991574798918,-4.104997634887695,2.2087967440428606,,,8.920578867462714,0.04814613983035089,0.026670583,7.5,5.482928049865327,-0.4027570885145556,기타,0,-1.0167703672995252,-0.8886198699559827,-0.08144587470253299,0.4250924733117192,-0.3841451
178,857500.0,1642500.0,0.0,0.0,0.0,,1.1074021182391567,4.157277584075928,9.624878013743047,,,4.208483135589058,0.04814613983035089,0.026670583,7.5,5.482928049865327,-0.4027570885145556,기타,0,-1.012934570494499,-0.8493014790004628,-0.08144587470253299,0.4250924733117192,-0.3841451
183,857500.0,1667500.0,0.0,0.0,0.0,,12.265486803780126,-3.25,3.48209706929603,0.2199240654706956,0.11068270355463028,1.8911023059945233,0.2199240654706956,0.1106827,15.75,4.926015123809508,2.5552391817367024,기타,0,-0.5517408193809376,-0.88455112007975,5.8106204938271615,0.3138261199038764,0.50779045
185,857500.0,1677500.0,0.0,0.0,0.0,,11.113549554073545,-2.5,1.231107225224513,0.24042180180549627,0.12108366936445236,4.428482414452191,0.26023579835891725,0.12958892,19.75,3.8078865529319543,3.3852093819598448,기타,0,-0.5993534945139781,-0.880982031368089,7.193332531607515,0.09043376734390268,0.9402441
229,862500.0,1627500.0,0.0,0.0,0.0,,2.018360822285265,4.2853803634643555,26.13467045172204,,,7.369142270205775,0.05640013217926026,0.030100409,41.0,10.17656621852381,-0.9098431394371886,기타,0,-0.9752821889551305,-0.8486918654219993,0.20167007598681488,1.362840510408187,3.2376537
230,862500.0,1632500.0,0.0,0.0,0.0,,0.001680280374291134,15.666488647460938,18.003508388489095,,,8.359923155509792,0.05640013217926026,0.030100409,41.0,10.17656621852381,-0.9098431394371886,기타,0,-1.058637037939821,-0.7945316186185267,0.20167007598681488,1.362840510408187,3.2376537
231,862500.0,1637500.0,0.0,0.0,0.0,,1.2415633264858406,-3.5,3.7416437036611954,,,11.174809661829627,0.04814613983035089,0.026670583,7.5,5.482928049865327,-0.4027570885145556,기타,0,-1.0073893257119966,-0.8857408163169703,-0.08144587470253299,0.4250924733117192,-0.3841451
232,862500.0,1642500.0,4.0,1.0,4.0,평지,0.5348789043647924,28.88022804260254,5.375973426504711,,,7.937945196966023,0.04814613983035089,0.026670583,7.5,5.482928049865327,-0.4027570885145556,평지,4,-1.0365984999275197,-0.7316502744664856,-0.08144587470253299,0.4250924733117192,-0.3841451
235,862500.0,1657500.0,0.0,0.0,0.0,,1.6906943246122186,-4.0,6.189709201569974,,,6.343387435113416,0.09691176265478135,0.050902955,20.25,2.3351927115336757,0.8481600846734528,기타,0,-0.9888255295404462,-0.8881202087914111,1.5912386982024898,-0.20379763895344502,0.9943008
283,867500.0,1627500.0,0.0,0.0,0.0,,1.4083749980624198,13.086031913757324,11.901993279072858,,,9.529440758044098,0.1176545768976212,0.061357733,14.0,1.3806701271484076,1.327379907930193,기타,0,-1.0004945491699602,-0.8068114572841152,2.302727311965273,-0.3945029399816594,0.318592
286,867500.0,1642500.0,0.0,0.0,0.0,,1.6077024349165625,4.54711389541626,5.238858237475176,,,12.582154727928536,0.04814613983035089,0.026670583,7.5,5.482928049865327,-0.4027570885145556,기타,0,-0.9922558083023866,-0.847446331829529,-0.08144587470253299,0.4250924733117192,-0.3841451
